id,tahun,source,jenis_bansos,question,answer,length
610,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa peran dan tanggung jawab Bank Penyalur dalam menyalurkan Bantuan ATENSI Anak Yatim Piatu?,"Bank penyalur berperan penting dalam menyalurkan bantuan secara langsung kepada KPM. Tugasnya meliputi membuka rekening dan mencetak kartu atensi. Mengaktivasi kartu dan buku tabungan yang diterima wali. Menyalurkan dana sesuai surat perintah direktorat rehabilitasi sosial anak. Memberikan sosialisasi penggunaan bantuan. Melakukan rekonsiliasi data serta pelaporan ke Kemensos. Menyetorkan kembali dana ke kas negara jika ada transaksi tidak sesuai atau penolakan bantuan. Dan mendistribusikan serta mengaktivasi kartu dengan sistem jemput bola bagi penerima yang memiliki wali lansia, disabilitas, atau sakit berat.",711
611,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Bagaimana cara pelaporan dan rekonsiliasi data dalam penyaluran Bantuan ATENSI Anak Yatim Piatu?,"Bank penyalur wajib melaporkan hasil penyaluran meliputi data penerima baru yang berhasil atau gagal dibukakan rekening, distribusi kartu atensi dan buku tabungan beserta alasan kegagalan, hasil pemindahbukuan dana, data transaksi penerima, dan penyetoran kembali dana yang tidak tersalurkan. Sisa dana di rekening penerima yang sudah bertransaksi dianggap sah dan tidak perlu dikembalikan. Kartu yang tidak diambil dalam waktu tertentu dihapus dan disimpan untuk pemeriksaan apip atau bpk. Kartu, rekening, dan buku tabungan penerima ganda atau yang tidak memenuhi kriteria ditutup berdasarkan permohonan direktorat.",713
612,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,"Apa tanggung jawab Pelaksana Bantuan Permakanan dalam penyediaan dan distribusi makanan kepada KPM, serta bagaimana cara pelaporannya?","Pelaksana bantuan permakanan bertanggung jawab menyediakan dan mendistribusikan makanan kepada KPM. Tugasnya melaksanakan prosedur sesuai kebijakan program, membuat surat kesanggupan dan perjanjian kerja sama dengan Kemensos, mengusulkan dan menetapkan petugas kirim bantuan permakanan, menyediakan dan mengantarkan makanan, mengajukan pencairan dana dengan rincian anggaran dan daftar penerima, membuat laporan bulanan melalui aplikasi SIKSMA, melaporkan perubahan data penerima dengan pengesahan camat atau lurah, membuat surat pertanggungjawaban dan pernyataan tanggung jawab mutlak.",720
613,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa ketentuan dalam laporan pertanggungjawaban program Permakanan yang harus dibuat oleh Pokmas dan PPK Direktorat Rehabilitasi Sosial lansia?,"Pokmas wajib membuat laporan harian penggunaan dana permakanan kepada PPK dengan tembusan kpa. Laporan harian berisi kwitansi biaya harian, foto menu dan penerima, rekap jumlah dan harga, tanda terima lewat aplikasi SIKSMA dengan bukti foto pengiriman. Laporan bulanan dibuat dari rekap harian dalam format pdf. Semua dokumen asli harus diarsipkan rapi. PPK menyusun dokumen penetapan KPM, penetapan pokmas pelaksana, perjanjian kerja sama, tanda terima biaya permakanan, biaya pengiriman dan operasional, bukti transfer dana ke pokmas, serta laporan penggunaan dana dari pokmas.",721
614,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 4 Tahun 2023,BPNT,Bagaimana cara yang dapat digunakan oleh KPM untuk menarik uang atau membeli bahan pangan dari Program Sembako?,"KPM program sembako dapat menarik uang atau membeli bahan pangan dengan cara sebagai berikut penarikan uang atau pembelian bahan pangan dilakukan setelah dana bantuan sosial masuk ke rekening KPM. Penarikan uang dilakukan di kantor bank penyalur atau atm. Pembelian bahan pangan dapat dilakukan di toko yang menjual bahan pangan. Transaksi pembelian bahan pangan dapat dilakukan dengan menggunakan EDC, biometrik, unstructured supplementary service data atau pesan singkat, serta qris. Dan pihak lain dilarang mengarahkan KPM program sembako dalam memperoleh bahan pangan atau memilih toko tertentu untuk berbelanja.",727
615,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa peran peningkatan kualitas sarana dan prasarana perumahan dalam penanggulangan kemiskinan dalam program RST?,"Peningkatan kualitas sarana dan prasarana perumahan mendukung interaksi sosial sehat dan menciptakan kota inklusif serta layak huni. Pemerintah menetapkan standar rumah meliputi keselamatan, ruang minimum, kesehatan, lokasi, arsitektur, struktur, mekanikal, elektrikal, dan perpipaan. Program rumah sejahtera rutilahu disesuaikan dengan standar ini, namun belum cukup. Oleh karena itu, program diubah menjadi RST yang terintegrasi dengan program lain seperti pena, atensi, dan bantuan sosial. Pelaksanaan RST memerlukan petunjuk teknis dari keputusan dirjen perlindungan dan jaminan sosial agar efektif dan tepat sasaran.",733
616,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,"Mengapa program Bantuan Permakanan bagi Penyandang Disabilitas penting bagi pemerintah, dan bagaimana petunjuk teknis memastikan efektivitas serta akuntabilitas dalam pelaksanaannya?","Program bantuan permakanan bagi penyandang disabilitas memenuhi hak dasar penyandang disabilitas untuk hidup layak dan sejahtera. Program ini menjamin penerima mendapat pangan layak dan bergizi sesuai standar. Petunjuk teknis menjadi pedoman pemerintah pusat, daerah, penyelenggara, dan masyarakat agar penyaluran bantuan tertib, akuntabel, efektif, efisien, dan tepat sasaran. Pemantauan dan evaluasi berkala dilakukan untuk menyempurnakan pelaksanaan. Partisipasi masyarakat dalam pengawasan dan pelaporan penyimpangan mendukung keberhasilan program.",734
617,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana proses penarikan dana PKH dengan pengambilan langsung oleh KPM PKH di kantor pos penyalur?,"KPM PKH datang ke kantor pos penyalur dengan surat pemberitahuan yang berisi jenis program, nilai bantuan, lokasi kantor, tanggal pengambilan, dan persyaratan. KPM PKH menunjukkan identitas diri. Jika satu KK ada lebih dari satu penerima PKH, bantuan hanya diberikan kepada satu penerima. Jika KPM tidak hadir, pengambilan dapat diwakilkan kepada istri, suami, anak, atau anggota keluarga lain dalam KK dengan surat pemberitahuan dan identitas. Jika KPM meninggal, bantuan diserahkan kepada ahli waris dalam KK dan dilaporkan ke unit kerja PKH. Jika KPM meninggal tanpa ahli waris, bantuan tidak diberikan dan dilaporkan ke unit kerja PKH.",739
618,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Apa kriteria ODHIV untuk menerima Bantuan Permakanan dan bagaimana kriteria tersebut memastikan bantuan tepat sasaran?,"Bantuan permakanan diberikan kepada ODHIV yang fakir miskin atau tidak mampu. Memiliki NIK dan nomor KK yang telah dipadankan dengan data dari ditjen dukcapil kemendagri. Terdaftar dalam DTKS atau dalam proses pengusulan DTKS. Ditetapkan oleh direktur rehabilitasi penyandang disabilitas sebagai KPM permakanan. Tidak berstatus sebagai penerima bantuan sosial PKH atau program sembako. Bersedia menandatangani informed consent sebagai KPM permakanan ODHIV. Kriteria ini bertujuan untuk memastikan bahwa bantuan diberikan kepada kelompok yang paling membutuhkan, serta mencegah tumpang tindih dengan program bantuan sosial lainnya.",748
619,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana proses penyaluran dana PKH melalui Bank Penyalur dilakukan?,"Pusat data dan informasi kesejahteraan sosial memilah data KPM PKH berdasarkan segmentasi. Data diserahkan ke unit kerja PKH untuk penetapan surat keputusan oleh PPK. Data diproses di aplikasi SIKSNG dan dikirim ke OM SPAN untuk validasi bank penyalur. Jika status validasi 1, dibuat batch spm untuk pengusulan pembayaran. Jika tidak, unit kerja PKH memberi tahu pusat data untuk tindak lanjut. Unit kerja PKH mengajukan spm ke kppn kementerian keuangan. Dana PKH dicairkan dari kas negara ke rekening penampungan lembaga atau RPL. Bank penyalur memindahkan dana dari RPL ke rekening KPM PKH. Setelah penyaluran, pemberitahuan dikirim ke dinas sosial provinsi dan kabupaten kota.",748
620,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa prosedur yang harus diikuti oleh warga negara Indonesia untuk mengusulkan dirinya masuk ke dalam DTKS atau menerima bantuan sosial?,"Usulan yang berasal dari warga negara indonesia secara mandiri dilaksanakan dengan ketentuan warga negara indonesia dapat mengusulkan dirinya melalui aplikasi Cekbansos mobile untuk masuk ke dalam DTKS, mendapat bantuan sosial, atau peserta PBI jaminan kesehatan. Usulan dari masyarakat diteruskan kepada pendamping sosial melalui SIKSNG untuk selanjutnya dilakukan verifikasi. Hasil verifikasi yang dilakukan oleh pendamping sosial akan menjadi usulan rekomendasi pemerintah desa atau kelurahan dalam melaksanakan musyawarah desa atau kelurahan untuk menentukan usulan masuk ke DTKS atau usulan menerima bantuan sosial.",755
621,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Siapa yang menjadi sasaran atau KPM program PENA?,"Pokmas bertanggung jawab menyediakan dan mendistribusikan makanan bagi ODHIV KPM. Tugas pokmas melaksanakan norma, standar, prosedur, dan kriteria bantuan permakanan ODHIV, menyusun dan menandatangani surat kesanggupan pelaksana program, menjalin kerja sama dengan PPK melalui nota kesepahaman, menunjuk petugas kirim makanan, mengelola proses penyediaan bahan, memasak, dan pengantaran makanan, mengajukan pencairan dana dengan rincian anggaran dan daftar penerima, membuat laporan bulanan pelaksanaan dan penggunaan dana lewat aplikasi SIKSMA, melaporkan perubahan data penerima kepada PPK, menyusun laporan pertanggungjawaban untuk Kemensos, dan membuat surat pernyataan tanggung jawab mutlak pelaksanaan program.",765
622,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Bagaimana proses pelaporan dan pertanggungjawaban pelaksana Bantuan Permakanan bagi Penyandang Disabilitas setelah bantuan disalurkan?,"Program bantuan permakanan berjalan januari desember 2024 setelah dana dicairkan. Ketua pelaksana wajib lapor pertanggungjawaban 7 hari kalender setelah periode selesai. Sisa dana dikembalikan ke kas negara. Dana digunakan sesuai rekomendasi ahli gizi untuk makanan penyandang disabilitas. Petugas kirim mengantar makanan dan dokumentasi real time lewat aplikasi SIKSMA. Pokmas buat laporan bulanan berisi bast, penggunaan dana, foto menu, dan tanda terima. Wilayah sulit dijangkau disalurkan lewat koordinasi kelurahan, desa, RW, atau RT. Rekonsiliasi data pencairan dilakukan bulanan, triwulan, dan tahunan untuk memastikan bantuan sesuai rencana.",783
623,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa syarat dan ketentuan calon penerima bantuan Rehabilitasi RLH?,"Calon penerima harus memiliki KTP atau kk, termasuk fakir miskin dalam DTKS, dan memiliki rumah di atas tanah sendiri dengan bukti kepemilikan sah seperti sertifikat, akta jual beli, girik, atau surat keterangan camat. Tidak boleh pernah menerima bantuan perbaikan rumah dari kementerian, lembaga, atau pemda lain. Jika belum terdaftar di DTKS, data dapat diusulkan sesuai ketentuan. Penerima diutamakan berbentuk kelompok 3 sampai 15 KK dari kelurahan atau desa dalam satu kecamatan, difasilitasi lurah, kepala desa, atau dinas sosial. Kelompok harus memiliki struktur ketua, sekretaris, dan bendahara, serta anggota berpengalaman pembangunan rumah. Jika tidak bisa membentuk kelompok, bantuan dapat diberikan secara perseorangan.",796
624,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana perbaikan data anomali pada DTKS dilakukan oleh Pemerintah Daerah kabupaten kota?,"Perbaikan data anomali DTKS oleh pemerintah daerah dilakukan melalui aplikasi SIKSNG dengan langkah perbaiki atribut yang bermasalah seperti kosong, angka di nama, karakter tidak lazim, tanggal lahir tidak valid, pekerjaan asn atau TNI atau Polri, NIK ganda atau berubah. Pastikan data anomali sudah diperbaiki di data dukcapil. Lengkapi kolom anomali dengan data benar untuk divalidasi dengan data dirjen dukcapil kemendagri. Jika data cocok, simpan data. Jika tidak cocok, koordinasi dengan dukcapil setempat untuk konsolidasi dan ulangi pemadanan. Data penerima bantuan yang diperbaiki akan dipakai untuk proses bantuan selama periode penyaluran belum berakhir. Data yang diperbaiki tampil di menu view DTKS.",802
625,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa ketentuan tambahan dalam pembayaran dana PKH di komunitas?,"Jika satu keluarga memiliki lebih dari satu penerima, hanya satu anggota yang menerima bantuan. Jika KPM PKH tidak hadir, bantuan dapat diwakilkan kepada anggota keluarga terdaftar dengan surat pemberitahuan, KK, dan identitas diri. Jika KPM PKH meninggal, bantuan diserahkan kepada ahli waris dalam KK dengan identitas diri dan dilaporkan ke unit kerja PKH. Jika KPM PKH meninggal tanpa ahli waris, bantuan tidak diberikan dan dilaporkan ke unit kerja PKH. Jika pembayaran di komunitas tidak memungkinkan, bantuan diserahkan kepada kepala suku atau perwakilan komunitas dengan berita acara serah terima yang ditandatangani pejabat terkait. Pos penyalur memberikan tanda terima atau slip penerimaan yang disahkan kepada KPM PKH sebagai bukti.",804
626,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Bagaimana prosedur perbaikan data peserta PBI Jaminan Kesehatan melalui BPJS Kesehatan?,"Peserta menyampaikan perbaikan data ke kantor cabang atau layanan BPJS Kesehatan di kabupaten kota. Peserta mengisi formulir perbaikan dan menyerahkan KIS serta dokumen kependudukan resmi yang sudah diperbaiki. BPJS Kesehatan menerbitkan KIS baru sesuai data terbaru. Kantor cabang melaporkan perbaikan data ke kantor pusat BPJS Kesehatan. Kantor pusat melaporkan ke kementerian kesehatan dengan tembusan ke Kemensos melalui SIKSNG. Kemensos menginformasikan ke dinas sosial kabupaten kota untuk memeriksa dan mengesahkan data. Hasil pemeriksaan diteruskan ke dinas sosial provinsi untuk verifikasi akhir dan persetujuan. Setelah disetujui, data diperbarui di sistem kepesertaan nasional oleh Kemensos melalui SIKSNG.",804
627,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Apa peran dan tanggung jawab Pokmas dalam penyediaan dan distribusi makanan bagi ODHIV KPM?,"Pokmas bertanggung jawab menyediakan dan mendistribusikan makanan bagi ODHIV KPM. Tugas pokmas melaksanakan norma, standar, prosedur, dan kriteria bantuan permakanan ODHIV, menyusun dan menandatangani surat kesanggupan pelaksana program, menjalin kerja sama dengan PPK melalui nota kesepahaman, menunjuk petugas kirim makanan, mengelola proses penyediaan bahan, memasak, dan pengantaran makanan, mengajukan pencairan dana dengan rincian anggaran dan daftar penerima, membuat laporan bulanan pelaksanaan dan penggunaan dana lewat aplikasi SIKSMA, melaporkan perubahan data penerima kepada PPK, menyusun laporan pertanggungjawaban untuk Kemensos, dan membuat surat pernyataan tanggung jawab mutlak pelaksanaan program.",807
628,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa prosedur penggantian data KPM dalam Program Bantuan Permakanan bagi Penyandang Disabilitas dan kapan penggantian dapat dilakukan?,"Penggantian data dilakukan jika anggaran tersedia dan penerima tidak layak, seperti meninggal, menolak bantuan, pindah domisili, atau tidak memenuhi kriteria. Prosedur pokmas melalui pendamping sosial mengusulkan penggantian ke camat, kepala distrik, atau dinas sosial kabupaten kota. dinas sosial verifikasi lapangan. Camat atau kepala distrik menyusun berita acara penggantian data dan dokumen pendukung seperti surat kematian, surat pindah. Berita acara dan surat pengantar dikirim ke direktorat rehabilitasi sosial penyandang disabilitas dengan tembusan dinas sosial provinsi. Direktorat mengajukan perubahan data ke pusdatin kesos untuk validasi dan penerbitan surat keputusan PPK.",819
629,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Bagaimana cara pemberian dan distribusi Bantuan Permakanan bagi Penyandang Disabilitas agar sesuai dengan standar nutrisi dan kebutuhan KPM?,"Bantuan permakanan disalurkan oleh direktorat rehabilitasi sosial penyandang disabilitas dengan stakeholder terkait. Pemberian dilakukan dua kali sehari dengan menu sesuai standar nutrisi karbohidrat, lauk pauk, sayur, buah, dan air mineral, disesuaikan kondisi kesehatan penerima. Makanan disiapkan sesuai standar kebersihan dan higienis. Pelaksanaan oleh pokmas dan lks. Pokmas di kecamatan bekerja swakelola. Lks membentuk pokmas yang ditetapkan camat atau kepala distrik. Setiap pelaksana menunjuk petugas kirim yang berdomisili di kecamatan, minimal 18 tahun, memiliki sim jika menggunakan kendaraan, mampu menggunakan smartphone untuk dokumentasi, dan bukan pns atau pendamping sosial.",831
630,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Bagaimana cara penyaluran bantuan usaha melalui kerja sama dengan Bank?,"Penyaluran bantuan usaha program pena melalui kerja sama dengan bank, diprioritaskan untuk KPM di ibu kota provinsi. Tahapan pemadanan data KPM dengan rekening bantuan sosial melalui SIKSMA dan SIKSNG. Pembukaan dan pengecekan rekening, bagi KPM tanpa basic saving account dibuatkan rekening baru, dan bank mengecek rekening aktif penerima. Proses penyaluran dana, direktorat pkat ks menetapkan data bayar, mengajukan spm ke kppn, yang kemudian memindahbukukan dana ke bank penyalur untuk disalurkan ke KPM sesuai instruksi. Penarikan dana oleh KPM melalui ATM atau kantor cabang, wajib dibelanjakan sesuai RAB yang disetujui. Pelaporan hasil penyaluran oleh bank kepada direktorat pkat ks, mencakup penerima yang berhasil, gagal, atau pengembalian dana ke kas negara.",839
631,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,"Mengapa pemantauan dan evaluasi dalam Program Sembako penting, dan bagaimana caranya?","Pemantauan dan evaluasi dilakukan untuk memastikan penyaluran program sembako berjalan tepat waktu, tepat jumlah, dan tepat administrasi. Ketepatan waktu dijamin melalui penyaluran setiap periode yang telah ditetapkan atau sesuai kebijakan pemerintah. Ketepatan jumlah dipastikan dengan cara yang menjamin KPM menerima bantuan sesuai nilai yang telah ditentukan. Sedangkan ketepatan administrasi dicapai melalui pelaksanaan penyaluran sesuai cara yang diatur dalam peraturan perundang undangan, keputusan direktur jenderal, dan perjanjian kerja sama yang berlaku. Pemantauan dan evaluasi dilaksanakan oleh pelaksana program sembako dan pengampu KPM dengan melibatkan kementerian lembaga, dinas sosial daerah provinsi dan kabupaten kota, serta aparat penegak hukum.",849
632,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa kategori penggunaan Bantuan ATENSI Anak Yatim Piatu bagi KPM?,"Penggunaan bantuan atensi anak yatim piatu ditentukan melalui asesmen pendamping sosial untuk memastikan anak hidup layak secara fisik, mental, dan psikososial. Bantuan dapat digunakan untuk kebutuhan dasar seperti pakaian sehari hari, pakaian sekolah, serta perlengkapan ibadah. Mendukung kesehatan, pendidikan, dan identitas melalui pembelian obat, jasa dokter, buku dan alat sekolah, paket data, hingga transportasi untuk pengurusan dokumen kependudukan. Menjaga kebersihan diri melalui perlengkapan mandi dan alat kebersihan. Serta pengembangan potensi anak lewat kursus, bimbingan belajar, dan pelatihan keterampilan. Sebagian dana juga bisa dialokasikan sebagai tabungan untuk pendidikan maupun penghidupan berkelanjutan, agar anak yatim piatu memiliki masa depan yang lebih baik.",851
633,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Bagaimana tahapan pelaksanaan Program PENA dilakukan secara bertahap dalam satu tahun?,"Pelaksanaan program pena dilakukan bertahap dalam satu tahun bulan 1 pengusulan calon KPM, bulan kedua pemetaan wilayah dan pendamping sosial, bulan ketiga peningkatan kapasitas pendamping, bulan keempat dan kelima asesmen calon KPM serta penyusunan dan evaluasi proposal, bulan keempat penetapan daftar KPM penerima bantuan, bulan kelima dan keenam pemberian bantuan, pelatihan, dan pendampingan. Pemantauan dan evaluasi dilakukan pada bulan kelima, ketujuh, kesembilan, dan kedua belas, sementara strategi keberlanjutan termasuk evaluasi parsial dan akhir tahun dilakukan pada bulan keenam dan kedua belas. Terminasi atau pengalihan program dilakukan pada bulan kedua belas untuk memastikan KPM yang mandiri dapat beralih dari penerima bantuan sosial ke kemandirian ekonomi.",862
634,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Bagaimana alur proses pelaksanaan Program RST dari pengusulan hingga penyaluran bantuan?,"Program RST dimulai dengan usulan proposal dari daerah, yang mencantumkan jenis program RLH atau rus. Proposal diverifikasi melalui pemadanan data dukcapil dan DTKS oleh pusdatin. Jika tidak cocok, dikembalikan ke daerah. Proposal yang lolos diverifikasi lapangan menentukan kelayakan penerima. Penerima membuka rekening kolektif. Bila berhasil RLH berupa rehabilitasi atau pembangunan rumah, atau RUS untuk dukungan usaha mikro berbasis rumah tangga. Penerima juga bisa mendapat bantuan komplementer lansia atau disabilitas mendapat atensi, YAPI, atau bantuan permakanan. Sedangkan penerima berpotensi ekonomi mendapat pena untuk pengembangan usaha. Program selesai setelah penyaluran RLH atau RUS dan penerima memiliki hunian layak serta akses kesejahteraan sosial berkelanjutan.",869
635,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Bagaimana cara pengusulan proposal bantuan sosial rehabilitasi RLH atau RUS dan dokumen yang harus dilampirkan?,"Proposal bantuan sosial rehabilitasi RLH atau RUS dapat diajukan oleh pemilik rumah, masyarakat, lembaga kesejahteraan sosial, atau dinas sosial kabupaten kota. Jika diajukan dinas sosial, dilakukan seleksi, verifikasi, dan validasi calon penerima berdasarkan DTKS. Proposal diajukan ke menteri sosial c.Q. Dirjen perlindungan dan jaminan sosial dengan tembusan ke dinas provinsi. Proposal harus memuat identitas calon penerima, alamat, status kepemilikan tanah, kondisi bangunan, kategori bantuan lansia, penyandang disabilitas, atau keluarga berpotensi usaha, bukti kepemilikan tanah, foto rumah, dan rencana anggaran biaya atau RAB. Pengusulan bisa langsung atau online dan wajib dilengkapi surat pernyataan tanggung jawab mutlak dari kepala dinas sosial kabupaten kota.",884
636,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa syarat dan kriteria yang harus dipenuhi oleh Pokmas agar dapat menjadi pelaksana program Bantuan Permakanan bagi Lansia?,"Pelaksanaan pemberian permakanan bagi lansia keluarga tunggal dilakukan secara swakelola oleh pokmas dengan melibatkan petugas kirim. Kriteria pokmas meliputi ditetapkan dan diusulkan oleh camat atau kepala distrik atau kepala dinas sosial kabupaten kota sesuai wilayah. Memiliki kepengurusan lengkap seperti ketua, sekretaris, bendahara dan bukan asn, TNI atau Polri, kepala desa atau lurah, atau petugas yang tidak layak membuat akun SIKSMA. Memiliki integritas, bersedia melayani penerima, dan berada di wilayah kecamatan atau distrik kegiatan. Memiliki struktur organisasi yang mendukung swakelola yaitu tim persiapan, pelaksana, pengawas. Bersedia melaksanakan swakelola dengan surat kesanggupan. Serta memiliki komitmen dalam pelaksanaan kegiatan permakanan.",888
637,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa kriteria yang harus dipenuhi untuk data yang diproses masuk ke dalam DTKS?,"Data yang diproses untuk masuk ke dalam DTKS harus memenuhi kriteria integritas data, yang terdiri atas data perorangan yang bersifat individual dan tunggal. Data perorangan yang memiliki nomor induk kependudukan, nama, dan alamat yang sesuai dengan data kependudukan yang dikelola oleh lembaga pemerintah yang menangani urusan kependudukan dan pencatatan sipil. Data keluarga, kelompok, dan masyarakat yang merupakan himpunan data perorangan. Data anggota keluarga yang tidak tumpang tindih dengan anggota keluarga lain. Dan kelengkapan atribut data seperti NIK, nama lengkap, alamat, termasuk informasi provinsi, kabupaten kota, kecamatan, dan desa atau kelurahan, nomor RT, dan nomor RW, tempat lahir, tanggal lahir, jenis kelamin, nomor KK, nama ibu kandung, status hubungan dalam keluarga. Dan status kawin.",890
638,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Seperti apa format pengusulan program RST?,"Proposal pengusulan program RST harus dilengkapi surat rekomendasi resmi dari lurah, kepala desa, atau kepala dinas sosial kabupaten kota. Profil calon penerima mencantumkan identitas lengkap sepeti nama, NIK, KK, KKS, jenis kelamin, KTP, usia, status perkawinan, alamat lengkap hingga RT atau RW, nama gadis ibu kandung, kepemilikan rumah, usaha, dan kondisi khusus seperti lansia atau disabilitas. Jenis bantuan yang diajukan meliputi RLH atau rus, pena, atensi atau YAPI, atau permakanan atau pendampingan lansia. Dokumen wajib fotokopi KTP, kk, KKS jika ada, bukti kepemilikan rumah seperti sertifikat atau keterangan tanah atau pernyataan resmi, dan foto kondisi rumah. Verifikasi pusat memerlukan rekapan data bnba dalam format excel. Proposal lengkap dikirim resmi oleh pejabat pengusul ke direktorat RST Kemensos untuk verifikasi dan penilaian kelayakan.",904
639,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa tugas dan kewajiban Pos Penyalur dalam menyalurkan dana kepada Pokmas serta memastikan pelaksanaan program sesuai ketentuan?,"Pos penyalur menyalurkan dana kepada pokmas dan memastikan program berjalan sesuai ketentuan. Tugasnya meliputi bekerja sama dengan direktorat rehabilitasi sosial lansia, menerima data pokmas, membukakan rekening giro atas nama pokmas yang selaras dengan RPL db, dan melaporkan rekening tersebut ke direktorat. Pos penyalur menyalurkan dana ke pokmas melalui pengantaran langsung atau pengambilan di kantor pos, serta membuat laporan bulanan transaksi dan sisa saldo. Selain itu, pos penyalur mendokumentasikan proses penyaluran, melakukan rekonsiliasi dengan direktorat, melaksanakan perintah tertulis terkait penundaan atau pengembalian dana ke kas negara, serta berkoordinasi dengan pemerintah daerah, kepolisian, dan melakukan sosialisasi cara pencairan dana kepada pokmas.",905
640,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa peran Pemerintah kabupaten kota dalam mendukung pelaksanaan Program PENA?,"Pemerintah kabupaten kota memiliki tugas untuk mendukung penyelenggaraan program pena dengan pendanaan APBD, baik penuh maupun pola cost sharing, pendanaan mencakup pendampingan usaha dan peningkatan nilai tambah, dukungan operasional bagi pendamping sosial, rujukan ke program daerah lain, serta biaya keberlanjutan usaha KPM pena. Melakukan koordinasi dan pemantauan pelaksanaan program pena di wilayahnya. Menyampaikan usulan calon KPM pena dari bupati atau walikota kepada menteri sosial sesuai kriteria yang ditetapkan. Menyiapkan data calon KPM pena sesuai kriteria melalui dinas sosial kabupaten kota. Mendukung pelaksanaan program pena melalui fasilitasi pendampingan usaha dan peningkatan nilai tambah dengan melibatkan dinas terkait seperti usaha mikro, perindustrian, perdagangan, tenaga kerja, atau bidang kewirausahaan lainnya.",917
